0x00000000, 0x00000082
0x00000001, 0x00000073
0x00000002, 0x00000012
0x00000003, 0x000000b7
0x00000004, 0x00000013
0x00000005, 0x00000082
0x00000006, 0x00000082
0x00000007, 0x00000093
0x00000008, 0x00000000
0x00000009, 0x00000050
0x0000000a, 0x00000003
0x0000000b, 0x00000013
0x0000000c, 0x00000000
0x0000000d, 0x00000062
0x0000000e, 0x00000091
0x0000000f, 0x00000063
0x00000010, 0x00000000
0x00000011, 0x00000062
0x00000012, 0x000000c2
0x00000013, 0x000000e3
0x00000014, 0x00000000
0x00000015, 0x00000010
0x00000016, 0x00000000
0x00000017, 0x00000073
0x00000018, 0x00000000
0x00000019, 0x00000062
0x0000001a, 0x000000d3
0x0000001b, 0x000000b3
0x0000001c, 0x00000040
0x0000001d, 0x00000062
0x0000001e, 0x000000d3
0x0000001f, 0x000000b3
0x00000020, 0x000000ff
0x00000021, 0x000000f3
0x00000022, 0x000000ce
0x00000023, 0x00000013
0x00000024, 0x000000ff
0x00000025, 0x000000c3
0x00000026, 0x000000fd
0x00000027, 0x00000063
0x00000028, 0x00000000
0x00000029, 0x00000062
0x0000002a, 0x000000c3
0x0000002b, 0x000000b3
0x0000002c, 0x000000fc
0x0000002d, 0x000000e0
0x0000002e, 0x00000005
0x0000002f, 0x00000013
0x00000030, 0x000000fe
0x00000031, 0x000000a3
0x00000032, 0x0000006c
0x00000033, 0x00000063
